circuitid,name,city,country,latitude,longitude,description
18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,"The Autódromo José Carlos Pace , better known as Autódromo de Interlagos or simply Interlagos , is a 4.309 km (2.677 mi) motorsport circuit located in the city of São Paulo , Brazil . It was inaugurated on 12 May 1940, by the federal intervener of the São Paulo province, Adhemar de Barros . In 1985, the circuit was renamed to honor the Formula 1 driver José Carlos Pace , who died in a plane crash in 1977. Attached to its facilities there is a kart circuit named after Ayrton Senna . It runs counterclockwise .

It is internationally known for hosting the Lollapalooza music festival. It has hosted the Formula One Brazilian Grand Prix since 1973. It also hosted the Brazilian motorcycle Grand Prix in 1992, the Deutsche Tourenwagen Meisterschaft in 1996, the FIA GT1 World Championship in 2010, and the FIA World Endurance Championship from 2012 to 2014. As the major racetrack in the country it also hosted many previous and active national championships such as Stock Car Brasil , Campeonato Sudamericano de GT , Fórmula Truck , Copa Truck , Formula 3 Sudamericana , Brazilian Formula Three Championship , and Mil Milhas Brasil . In addition, the Prova Ciclística 9 de Julho road cycling race was held at the venue from 2002 to 2006 and from 2008 to 2013.

The contract is prolonged until 2030, although profits from tobacco advertising have been cut from the equation since such advertising was banned in 2006."
19,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,"The Indianapolis Motor Speedway is a motor racing circuit located in Speedway, Indiana , United States, an enclave suburb of Indianapolis , Indiana. It is the home of the Indianapolis 500 and the Brickyard 400 and formerly the home of the United States Grand Prix and Indianapolis motorcycle Grand Prix . It is located six miles (9.7 km) west of Downtown Indianapolis .

Constructed in 1909, it is the second purpose-built, banked oval racing circuit after Brooklands and the first to be called a 'speedway'. It is the third-oldest permanent automobile race track in the world, behind Brooklands and the Milwaukee Mile . With a permanent seating capacity of 257,325, it is the highest-capacity sports venue in the world .

The track is a 2.500 mi (4.023 km) rectangular oval with dimensions that have remained essentially unchanged since its construction. It has two 0.625 mi (1.006 km) straightaways, four geometrically identical 0.250 mi (0.402 km) turns, connected by two 0.125 mi (0.201 km) short straightaways, termed ""short chutes"", between turns 1 and 2, and between turns 3 and 4. The turns have 9°12' banking, considered relatively flat by American standards.

A modern, FIA Grade One infield road course was completed in 2000, incorporating part of the oval, including the main stretch and the southwest turn, measuring 2.605 mi (4.192 km). In 2008, and again in 2014, the road course layout was modified to accommodate motorcycle racing, as well as to improve competition. Altogether, the current grounds have expanded from an original 320 acres (1.3 km ) on which the speedway was first built to cover an area of over 559 acres (2.3 km ). Placed on the National Register of Historic Places in 1975 and designated a National Historic Landmark in 1987, it is the only such site to be affiliated with automotive racing history.

In addition to the Indianapolis 500, the speedway also hosts NASCAR 's Brickyard 400 and Pennzoil 250. From 2000 to 2007, the speedway hosted the Formula One United States Grand Prix, and from 2008 to 2015 the Moto GP . The speedway served as the venue for the opening ceremonies for the 1987 Pan American Games .

On the grounds of the speedway is the Indianapolis Motor Speedway Museum , which opened in 1956, and houses the Hall of Fame . The museum moved into its current building located in the infield in 1976. Also on the grounds is the Brickyard Crossing Golf Resort, which originally opened as the Speedway Golf Course in 1929. The golf course has 14 holes outside the track, along the backstretch, and four holes in the infield. The site is among the most visited attractions in the Indianapolis metropolitan area , with 1 million guests annually. The track is nicknamed ""The Brickyard"" (see below), and the venue self-describes as the ""Racing Capital of the World"". The garage area is known as Gasoline Alley , though Indy 500 racecars have used methanol and currently ethanol.

The Speedway is owned by Roger Penske 's company Penske Corporation , following its 2019 purchase of Hulman & Company and its assets, which included the Speedway, the IndyCar Series , and associated enterprises."
20,Nürburgring,Nürburg,Germany,50.3356,6.9475,"The Nürburgring ( German pronunciation: [ˈnyːɐ̯bʊʁkˌʁɪŋ] ) is a 150,000-person capacity motorsports complex located in the town of Nürburg , Rhineland-Palatinate , Germany . It features a Grand Prix race track built in 1984, and a long Nordschleife ""North loop"" track, built in the 1920s, around the village and medieval castle of Nürburg in the Eifel mountains. The north loop is 20.830 km (12.943 mi) long and contains more than 300 metres (1,000 feet) of elevation change from its lowest to highest points. Scottish racing driver Jackie Stewart nicknamed the track ""The Green Hell"".

Originally, the track featured four configurations, namely the 28.265 km (17.563 mi)-long Gesamtstrecke (""Whole Course""), which in turn consisted of the 22.835 km (14.189 mi) Nordschleife (""North Loop"") and the 7.747 km (4.814 mi) Südschleife (""South Loop""). There was also a 2.281 km (1.417 mi) warm-up loop called Zielschleife (""Finish Loop"") or Betonschleife (""Concrete Loop""), around the pit area.

Between 1982 and 1983, the start/finish area was demolished to create a new GP-Strecke , which is now used for all major and international racing events. However, the shortened Nordschleife is still in use for racing, testing and public access."
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,"The Imola Circuit , officially called the Autodromo Internazionale Enzo e Dino Ferrari ( Italian for 'Enzo and Dino Ferrari International Circuit'), is a 4.909 km (3.050 mi) motor racing circuit. It is located in the town of Imola , in the Emilia-Romagna region of Italy , 40-kilometre (25 mi) east of Bologna . It is one of the few major international circuits to run in an anti-clockwise direction. Initially used for motorcycle racing , the first race at Imola was held in 1953. The circuit has an FIA Grade One licence. The circuit is named after the founder of the Ferrari car company, Enzo Ferrari (1898–1988), and his son Alfredo ""Dino"" Ferrari (1932–1956). It was called the Autodromo di Imola from 1953 to 1956 and the Autodromo Dino Ferrari from 1957 to 1988.

Imola hosted non-championship Formula One races in the 1963 Imola Grand Prix and the 1979 Dino Ferrari Grand Prix . It was used for official championship races in the 1980 Italian Grand Prix and the San Marino Grand Prix every year from 1981 to 2006. Safety concerns with the circuit were raised throughout the 1980s and 1990s, particularly with the high speed Tamburello corner where numerous accidents occurred. This resulted in fatalities, including the death of Ayrton Senna in 1994. Chicanes were introduced at multiple points to reduce cornering speeds, which changed the nature of the course and caused problems with their high kerbs .

Formula One stopped racing at Imola in 2007, leading the circuit owners to undertake major reconstruction work to the track and pit lane facilities. After the work was completed, a contract was signed for Formula One to return  to Imola from 2017, but legal disputes prevented this from occurring. It eventually returned in 2020, with the circuit hosting the Emilia Romagna Grand Prix since 2020. When Formula One visits Imola, it is considered one of the home circuits of the Scuderia Ferrari racing team, which is based in nearby Maranello .

The circuit has hosted many other motor racing series, including the Superbike World Championship , Motocross World Championship , World Touring Car Championship and European Le Mans Series . Several road bicycle races have also used the circuit, including stages of the Giro d'Italia and UCI Road World Championships ."
22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,"The Suzuka International Racing Course ( Japanese : 鈴鹿国際レーシングコース , Hepburn : Suzuka Kokusai Rēsingu Kōsu ) , a.k.a. the Suzuka Circuit ( 鈴鹿サーキット , Suzuka Sākitto ) , is a 5.807 km (3.608 mi) long motorsport race track located in Ino, Suzuka City , Mie Prefecture , Japan and operated by Honda Mobilityland , a subsidiary of Honda Motor Co, Ltd . It has a capacity of 155,000. It is most well known by its use by both the international Formula One ; and Japanese Super Formula championships."
80,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,"The Las Vegas Strip Circuit is a street circuit around parts of the Las Vegas Strip in Paradise, Nevada , immediately adjacent to Las Vegas, Nevada . It winds through the streets of the city and comprises the Las Vegas Strip, a section of Las Vegas Boulevard that is home to the city's major hotels and casinos. It incorporates some of the most notable landmarks of the city, including MSG Sphere , Caesars Palace , Bellagio , and Paris Las Vegas .

Designed by Carsten Tilke, the son of Formula One circuit designer Hermann Tilke , the circuit broke ground in March 2022 and opened on November 16, 2023, during the weekend of the first Las Vegas Grand Prix ."
24,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,"The Yas Marina Circuit (Arabic: حلبة مرسى ياس) is the venue for the Abu Dhabi Grand Prix . The circuit was designed by Hermann Tilke , and is situated on Yas Island , in Abu Dhabi , the capital of the United Arab Emirates . Yas Marina was the second of four Formula One tracks in the Middle East , with the first being in Bahrain and subsequent tracks in Qatar and Saudi Arabia .

A two-day GP2 Asia Series test was held to officially open the circuit, which was held a week before the 2009 Abu Dhabi Grand Prix . It also hosted V8 Supercars between 2010 and 2012, with the event being the opening round in 2010 and 2011. Outside motorsport, the circuit was used for the final stage of the inaugural Abu Dhabi Tour cycle race in 2015–2017. The circuit has an FIA Grade 1 license."
25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,
26,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,"El Circuito de Jerez-Ángel Nieto ​ es un autódromo de 4.423,101 m. (3,152 millas) de longitud, situado en la ciudad de Jerez de la Frontera , provincia de Cádiz , Andalucía , España . Fue inaugurado en 1985. ​ El proyecto fue liderado por el ingeniero español Manuel Medina Lara, a partir de una idea preliminar de Sandro Rocci. El circuito se encuentra junto a la autovía , a la altura de la urbanización de Monte Castillo ."
27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,"O Autódromo Fernanda Pires da Silva , popularmente conhecido como Autódromo do Estoril é um autódromo de Portugal , localizado no Concelho de Cascais. O autódromo era o principal e maior de Portugal até à construção do Autódromo Internacional do Algarve em 2008. A pista possui 4,36 quilômetros e 13 curvas.

Durante 13 edições (de 1984 até 1996 ), Estoril abrigou o Grande Prémio de Portugal de Fórmula 1 . Foi na pista do Estoril no seu ano de estreia em 1984 que o austríaco Niki Lauda conquistou o tricampeonato. Em 1985 , o brasileiro Ayrton Senna obteve a primeira pole e vitória na categoria, e em 1993 o francês Alain Prost conquistou o tetracampeonato. O circuito deixou de estar presente no calendário da MotoGP no ano de 2012. A terceira ronda da História da A1 Grand Prix foi realizada neste circuito, no dia 23 de outubro de 2005.

O circuito foi construído no ano de 1972, num planalto próximo do Estoril , por iniciativa de Fernanda Pires da Silva que idealizou, ao lado do arquiteto brasileiro Ayrton Lolô Cornelsen , o autódromo do Estoril e lhe empresta o nome, lutou contra tudo e todos para o erguer, em 1972, nos terrenos adquiridos ao amigo Lúcio Tomé Feteira .

Em julho de 2015, a Câmara Municipal de Cascais anunciou a compra da sociedade gestora - a Circuito do Estoril, S.A. - ao Estado por 4,92 milhões de euros, mas a operação foi rejeitada pelo Tribunal de Contas em fevereiro de 2016 e não se concretizou, por não ter sido considerada ""adequada às atribuições dos municípios""."
28,Okayama International Circuit,Okayama,Japan,34.915,134.221,
29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,"The Adelaide Street Circuit (also known as the Adelaide Parklands Circuit ) is a temporary street circuit in the East Parklands adjacent to the Adelaide central business district in South Australia , Australia .

The 3.780 km (2.349 mi) ""Grand Prix"" version of the track hosted eleven Formula One Australian Grand Prix events from 1985 to 1995, as well as an American Le Mans Series endurance race on New Year's Eve in 2000 ( Race of a Thousand Years ). Between 1999 and 2020 and again from 2022, a shortened 3.219 km (2.000 mi) version of the circuit has been used for the Adelaide 500 touring car race. It is also being used by the Adelaide Motorsport Festival."
30,Kyalami,Midrand,South Africa,-25.9894,28.0767,"Kyalami Grand Prix Circuit (from Khaya lami , My home in Zulu ) is a 4.529 km (2.814 mi) motor racing circuit located in Midrand , Gauteng , South Africa , just north of Johannesburg . The circuit has been used for Grand Prix and Formula One races and has hosted the South African Grand Prix twenty times. Among the Formula One races held at the track the 1977 South African Grand Prix stands out, as it is principally remembered for the fatal accident that claimed the lives of race marshal Frederick Jansen van Vuuren and driver Tom Pryce . In recent years, the area surrounding the circuit has developed into a residential and commercial suburb of Johannesburg . More recently, Kyalami has played host to five rounds of the Superbike World Championship from 1998 to 2002 and later in 2009 and 2010, the season finale of the Superstars Series in 2009 and 2010, and the South African round of the 2008–09 A1 Grand Prix season . International racing returned to the circuit in November 2019, when it hosted the 2019 Kyalami 9 Hours , serving as the season finale of the 2019 Intercontinental GT Challenge ."
31,Donington Park,Castle Donington,UK,52.8306,-1.37528,"Donington Park is a motorsport circuit located near Castle Donington in Leicestershire , England. The circuit business is now owned by Jonathan Palmer 's MotorSport Vision organisation, and the surrounding Donington Park Estate, still owned by the Wheatcroft family, is currently under lease by MotorSport Vision until 2038. It has a capacity of 120,000, and is also the venue of the Download Festival .

Originally part of the Donington Hall estate, it was created as a racing circuit during the period between the First and Second World Wars when the German Silver Arrows were battling for the European Championship. Used as a military vehicle storage depot during the Second World War , it fell into disrepair until bought by local construction entrepreneur Tom Wheatcroft . Revived under his ownership in the 1970s, it hosted a single Formula One race in 1993, but became the favoured home of the British round of the MotoGP motorcycling championship.

Leased by Donington Ventures Leisure Ltd in 2007 the hope that Formula One racing could return to the track, the incomplete venture failed to raise sufficient financial backing during the aftermath of the 2007–2008 financial crisis . DVLL consequently lost the rights to the British rounds of both Formula 1 and MotoGP series, and in its bankruptcy returned the track to the Wheatcroft family in December 2009.

Under Wheatcroft's ownership, the venue underwent significant work, with the track restored to use in autumn 2010, before major upgrades in the following five years. At the end of 2010, it was announced that Donington would become home to an annual historic motorsport event, the Donington Historic Festival, with new events constantly being added. Since 2010, significant investment across the venue has seen major improvements made to its infrastructure, while the circuit has become a regular fixture for top class motorcycling in the form of the Superbike World Championship .

In January 2017, the circuit business and a long-term lease on the estate was purchased by MotorSport Vision, with the purchase cleared by authorities in August of the same year. Significant investment has seen facilities at the venue brought up to modern standards, with a new restaurant, toilet blocks, large new grandstand and new circuit offices, as well as other detail changes. As well as improving the infrastructure, MSV made additions to the race calendar, with additional major events planned for 2019 which included extra rounds of the British Superbike Championship and British GT."
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,"El Autódromo Hermanos Rodríguez es un autódromo ubicado al oriente de la Ciudad de México , México , dentro del macro complejo Ciudad Deportiva Magdalena Mixhuca , a un par de kilómetros del aeropuerto . ​

Fue construido en 1959 y es propiedad del Gobierno de Ciudad de México , ​ operado bajo concesión por la Corporación Interamericana de Entretenimiento , a través de su subsidiaria OCESA Entretenimiento, una de las filiales de CIE. ​ CIE también organiza las carreras NASCAR y Desafío Corona en este circuito y alquila los circuitos a otras partes, incluidos organizadores de carreras, clubes de automóviles y aficionados de pista por tarifas que son controvertidas debido a sus montos desproporcionadamente altos en comparación con otros cursos ex-Fórmula 1.

La NASCAR Xfinity Series comenzó a competir en el Autódromo Hermanos Rodríguez en la temporada 2005 y finalizó en la temporada 2008. Martin Truex Jr. ganó la carrera en 2005 y Denny Hamlin ganó en 2006. Para la carrera de 2007, se eliminó la chicane para aumentar las oportunidades de adelantamiento en la recta delantera y en la curva 1, y el piloto colombiano Juan Pablo Montoya , ganó la carrera. Kyle Busch fue el ganador de la carrera en 2008. ​

El A1 Grand Prix comenzó a competir en el Autódromo Hermanos Rodríguez en la temporada 2006-07 utilizando la configuración de pista completa utilizada por la Fórmula 1. Alex Yoong de Malasia ganó la carrera de velocidad y Oliver Jarvis del Reino Unido ganó la carrera principal. En la temporada 2007-08 , Jonny Reid de Nueva Zelanda ganó la carrera de velocidad y Adam Carroll del equipo de Irlanda ganó la carrera principal. ​

En julio de 2014 se anunció que se volvería a disputar el 1 de noviembre de 2015 el Gran Premio de México . ​ ​ De esta manera, México recibió una carrera de Fórmula 1 luego de 23 años. Su retorno al campeonato tuvo algunos problemas organizativos, que incluyeron la clausura de una grada y la amenaza por parte de vecinos de boicotear el evento. ​ ​"
33,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,"The Formula One United States Grand Prix was held on the Phoenix street circuit in Phoenix, Arizona , between 1989 and 1991. It was held in downtown by the Phoenix Civic Plaza and the America West Arena , prior to the introduction of the state's baseball stadium, Bank One Ballpark . The United States Grand Prix lasted in Phoenix for three years, but was dropped without explanation by Formula One management. There were no further Formula One races in the US until the Indianapolis Motor Speedway first held a Grand Prix in 2000 ."
